ID,Reference,refyear,OriginalTitle,FrenchTitle,EnglishTitle,CommitteDecisionDate,kind,Genre,support,SecretariatDecision,firstfilm,secondfilm,budget,reason,Director,key,AnnouncedAmount,CoproducerId,country1,countryname1_english,percentage_participation,contributor_rank,majmin,lumieres_id,lumieres_title,lumieres_matching_title,lumieres_directors,lumieres_prod_year,lumieres_relevance,lumieres_admissions,imdb_id,imdb_ratings,imdb_nbvotes
6435,11-045-F,2011,Kid,,,2011-06-10,Fiction,,Supported,Eligible,0,0,1463720.0,,['Fien Troch'],6435,"[289917.0, 1124668.0]","[165, 16892]","['NL ', 'BE ']","['Netherlands', 'Belgium']","[0.19807, 0.76836]","[5, 3]","['Minority', 'Minority']",44896,Kid,Kid,Fien Troch,2012,1.0,8853,tt2365879,6.5,492
6436,11-046-F,2011,Zmajovini Pangalozi,,Classroom Rascals,,Fiction,,Inelegible,Withdrawal Producer,0,1,1313510.0,,['Slobodan Skerlic'],6436,"[360100.0, 953410.0]","[17671, 26498]","['BA ', 'RS ']","['Bosnia-Herzegovina', 'Serbia']","[0.27415, 0.72585]","[2, 1]","['Minority', 'Majority']",81715,Top je bio vreo,Top je bio vreo,Slobodan Skerlic,2014,1.0,468,tt1740552,6.5,313
6437,11-047-F,2011,Dracula,,,2011-06-10,Fiction,,Rejected,Eligible,0,0,4997036.0,,['Dario Argento'],6437,"[1499111.0, 3497925.0]","[14226, 26494]","['ES ', 'IT ']","['Spain', 'Italy']","[0.3, 0.7]","[2, 1]","['Minority', 'Majority']",40957,Dracula,Dracula,Dario Argento,2012,1.0,100541,tt1852770,3.6,5351
6438,11-048-F,2011,"Romanzo di una strage (ex ""Piazza Fontana"")",Piazza Fontana,Fontana Square,2011-06-10,Fiction,,Supported,Eligible,0,0,8300000.0,,['Marco Tullio Giordana'],6438,"[830000.0, 7470000.0]","[36, 53]","['FR ', 'IT ']","['France', 'Italy']","[0.1, 0.9]","[2, 1]","['Minority', 'Majority']",39313,Romanzo di una strage,Piazza Fontana: Włoski spisek,Marco Tullio Giordana,2012,0.95,368333,tt1565068,7.2,2898
6439,11-049-F,2011,Everybody in our Family,Papa vient dimanche,,2011-06-10,Fiction,,Supported,Eligible,0,0,724390.0,,['Radu Jude'],6439,"[166466.0, 524422.0]","[14843, 25800]","['NL ', 'RO ']","['Netherlands', 'Romania']","[0.2298, 0.72395]","[4, 2]","['Minority', 'Minority']",41390,Toata lumea din familia noastra,Papa vient dimanche,Radu Jude,2012,1.0,13756,tt2202607,7.4,1735
6440,11-050-F,2011,Call Girl,,,2011-06-10,Fiction,,Rejected,Eligible,1,0,4347331.0,,['Mikael Marcimain'],6440,"[438867.0, 454242.0, 3012987.0, 441235.0]","[16555, 17036, 17803, 26510]","['NO ', 'IE ', 'SE ', 'FI ']","['Norway', 'Ireland', 'Sweden', 'Finland']","[0.10095, 0.10449, 0.69307, 0.1015]","[4, 2, 1, 3]","['Minority', 'Minority', 'Majority', 'Minority']",41166,Call Girl,Call Girl,Mikael Marcimain,2012,1.0,175745,tt1977739,6.5,4963
6441,11-051-F,2011,Zwei Leben,,Two Lives,2011-06-10,Fiction,,Rejected,Eligible,0,1,3147112.0,,['Georg Maas'],6441,"[905632.0, 2241480.0]","[17625, 18155]","['NO ', 'DE ']","['Norway', 'Germany']","[0.28777, 0.71223]","[2, 1]","['Minority', 'Majority']",40817,Zwei Leben,Two Lives,"Georg Maas, Judith Kaufmann",2012,1.0,374737,tt1783422,7.1,3259
6442,11-052-F,2011,Dawn,L'aube,,,Fiction,,Inelegible,Withdrawal Secretariat,0,0,2362304.0,,['Romed Wyder'],6442,"[244647.0, 1524257.0, 240000.0, 353400.0]","[182, 15147, 26550, 26551]","['IL ', 'CH ', 'DE ', 'UK ']","['Israel', 'Switzerland', 'Germany', 'United Kingdom']","[0.10356, 0.64524, 0.1016, 0.1496]","[3, 1, 4, 2]","['Minority', 'Majority', 'Minority', 'Minority']",66584,Dawn,Dawn,Romed Wyder,2014,1.0,1652,tt2316567,6.4,76
6443,11-053-F,2011,Salvo,,,2011-06-10,Fiction,,Supported,Eligible,1,0,2135132.0,,"['Antonio Piazza', 'Fabio Grassadonia']",6443,"[536759.0, 1265869.0, 427026.0, 213513.0]","[204, 15417, 26552, 26554]","['FR ', 'IT ', 'DE ', 'FR ']","['France', 'Italy', 'Germany', 'France']","[0.25139, 0.59288, 0.2, 0.1]","[3, 2, 4, 5]","['Minority', 'Minority', 'Minority', 'Minority']",43432,Salvo,Salvo,"Fabio Grassadonia, Antonio Piazza",2013,1.0,61501,tt1971514,6.1,1396
6444,11-054-F,2011,Diaz,,,2011-06-10,Fiction,,Rejected,Eligible,0,0,6000000.0,,['Daniele Vicari'],6444,"[3600000.0, 1200000.0, 1200000.0]","[112, 22660, 25238]","['IT ', 'RO ', 'FR ']","['Italy', 'Romania', 'France']","[0.6, 0.2, 0.2]","[1, 2, 2]","['Majority', 'Minority', 'Minority']",40932,Diaz: Don't Clean Up This Blood,Diaz: Don't Clean Up This Blood,Daniele Vicari,2012,0.95,338882,tt1934234,7.3,4068
